zip_code,city,county,state
19930,Bethany Beach,Sussex,de
19931,Bethel,Sussex,de
19933,Bridgeville,Sussex,de
19939,Dagsboro,Sussex,de
19940,Delmar,Sussex,de
19941,Ellendale,Sussex,de
19944,Fenwick Island,Sussex,de
19945,Frankford,Sussex,de
19947,Georgetown,Sussex,de
19950,Greenwood,Sussex,de
19951,Harbeson,Sussex,de
19956,Laurel,Sussex,de
19958,Lewes,Sussex,de
19960,Lincoln,Sussex,de
19963,Milford,Sussex,de
19966,Millsboro,Sussex,de
19967,Millville,Sussex,de
19968,Milton,Sussex,de
19969,Nassau,Sussex,de
19970,Ocean View,Sussex,de
19971,Rehoboth Beach,Sussex,de
19973,Seaford,Sussex,de
19975,Selbyville,Sussex,de
19901,Dover,Kent,de
19902,Dover Afb,Kent,de
19903,Dover,Kent,de
19904,Dover,Kent,de
19905,Dover,Kent,de
19906,Dover,Kent,de
19934,Camden Wyoming,Kent,de
19936,Cheswold,Kent,de
19938,Clayton,Kent,de
19943,Felton,Kent,de
19946,Frederica,Kent,de
19952,Harrington,Kent,de
19953,Hartly,Kent,de
19954,Houston,Kent,de
19955,Kenton,Kent,de
19961,Little Creek,Kent,de
19962,Magnolia,Kent,de
19964,Marydel,Kent,de
19977,Smyrna,Kent,de
19979,Viola,Kent,de
19980,Woodside,Kent,de
19701,Bear,New Castle,de
19702,Newark,New Castle,de
19703,Claymont,New Castle,de
19706,Delaware City,New Castle,de
19707,Hockessin,New Castle,de
19708,Kirkwood,New Castle,de
19709,Middletown,New Castle,de
19710,Montchanin,New Castle,de
19711,Newark,New Castle,de
19712,Newark,New Castle,de
19713,Newark,New Castle,de
19714,Newark,New Castle,de
19715,Newark,New Castle,de
19716,Newark,New Castle,de
19717,Newark,New Castle,de
19718,Newark,New Castle,de
19720,New Castle,New Castle,de
19721,New Castle,New Castle,de
19725,Newark,New Castle,de
19726,Newark,New Castle,de
19730,Odessa,New Castle,de
19731,Port Penn,New Castle,de
19732,Rockland,New Castle,de
19733,Saint Georges,New Castle,de
19734,Townsend,New Castle,de
19735,Winterthur,New Castle,de
19736,Yorklyn,New Castle,de
19801,Wilmington,New Castle,de
19802,Wilmington,New Castle,de
19803,Wilmington,New Castle,de
19804,Wilmington,New Castle,de
19805,Wilmington,New Castle,de
19806,Wilmington,New Castle,de
19807,Wilmington,New Castle,de
19808,Wilmington,New Castle,de
19809,Wilmington,New Castle,de
19810,Wilmington,New Castle,de
19850,Wilmington,New Castle,de
19880,Wilmington,New Castle,de
19884,Wilmington,New Castle,de
19885,Wilmington,New Castle,de
19886,Wilmington,New Castle,de
19887,Wilmington,New Castle,de
19889,Wilmington,New Castle,de
19890,Wilmington,New Castle,de
19891,Wilmington,New Castle,de
19892,Wilmington,New Castle,de
19893,Wilmington,New Castle,de
19894,Wilmington,New Castle,de
19895,Wilmington,New Castle,de
19896,Wilmington,New Castle,de
19897,Wilmington,New Castle,de
19898,Wilmington,New Castle,de
19899,Wilmington,New Castle,de
19875,Selbyville,Sussex,de
